날짜,시도지역,일수,발생건수(건),일평균 발생건수(건),평균기온(°C),평균최고기온(°C),평균최저기온(°C),평균일교차(°C),평균상대습도(%),월합강수량(00~24h만)(mm),SO2(ppm),NO2(ppm),CO(ppm),PM-10(ug/m3),월별 인구수,0~14세,65세 이상,취약계층,취약계층비율,
201505,광주,31,33885,1093,19.4,26.1,13.6,12.5,56,48.6,0.003,0.018,0.4,41,1477212,232817,162714,395531,0.267755068,
201506,광주,30,25317,844,22.5,27.7,18.7,9,70,96.1,0.003,0.014,0.5,41,1476974,232333,163133,395466,0.267754206,
201507,광주,31,20760,670,25.4,29.7,22.2,7.5,83,164.3,0.003,0.011,0.3,31,1476716,231535,163797,395332,0.267710244,
201508,광주,31,22613,729,26,30.5,22.7,7.8,81,148.9,0.003,0.012,0.4,29,1476152,230753,164243,394996,0.26758491,
201509,광주,30,30950,1032,22,27.3,17.4,9.9,73,66.6,0.002,0.014,0.3,25,1475590,229655,164827,394482,0.267338488,
201510,광주,31,34469,1112,16.9,22.7,12.1,10.6,70,90.9,0.002,0.021,0.4,49,1474603,228914,165349,394263,0.267368912,
201511,광주,30,32862,1095,11.6,15.4,8.5,6.9,83,121.9,0.002,0.025,0.5,35,1474910,228259,165887,394146,0.267233933,
201512,광주,31,43091,1390,5.3,9.4,1.8,7.6,73,59.2,0.003,0.026,0.6,42,1472199,227392,166389,393781,0.267478106,
201601,광주,31,32308,1042,0.9,4.9,-2.1,7,69,49.7,0.003,0.024,0.6,39,1472802,226317,167123,393440,0.267137063,
201602,광주,29,33017,1139,3.3,8.2,-1,9.2,60,45.2,0.004,0.021,0.6,44,1472153,225613,167610,393223,0.267107427,
201603,광주,31,36233,1169,8.4,14.7,3.4,11.3,60,55.2,0.003,0.022,0.5,52,1471618,224758,168081,392839,0.266943595,
201604,광주,30,36913,1230,15.5,21.9,10.5,11.4,66,185,0.003,0.018,0.4,64,1471819,224273,168496,392769,0.26685958,
201605,광주,31,33320,1075,19.8,26,14.3,11.7,65,104.5,0.003,0.016,0.4,49,1472317,223846,169044,392890,0.2668515,
201606,광주,30,23984,799,23,27.6,19.5,8.1,80,116.1,0.002,0.013,0.4,35,1472285,223406,169542,392948,0.266896695,
201607,광주,31,20395,658,26.9,31.1,23.7,7.4,84,301.3,0.002,0.011,0.3,23,1472481,222907,170131,393038,0.26692229,
201608,광주,31,20295,655,27.8,33.1,23.8,9.3,79,81,0.002,0.014,0.4,28,1472432,222427,170542,392969,0.266884311,
201609,광주,30,26783,893,23,27.6,19.6,8,83,251.2,0.002,0.014,0.4,31,1472379,221676,171001,392677,0.266695599,
201610,광주,31,34680,1119,17.2,21.5,13.6,7.9,79,216.7,0.003,0.019,0.5,32,1471911,220971,171587,392558,0.266699549,
201611,광주,30,41158,1372,9.6,14.6,5.3,9.3,69,31.5,0.003,0.024,0.6,44,1471384,220503,172058,392561,0.266797111,
201612,광주,31,43248,1395,4.7,9.4,0.7,8.7,69,44.9,0.003,0.025,0.6,40,1469214,219773,172572,392345,0.267044147,
201701,광주,31,32768,1057,2,6.7,-1.9,8.6,66,11.7,0.003,0.023,0.5,47,1469583,219002,173562,392564,0.267126117,
201702,광주,28,29513,1054,2.9,8.4,-1.7,10.1,60,41.9,0.003,0.022,0.5,35,1468527,218343,174297,392640,0.267369956,
201703,광주,31,36057,1163,7.4,13.8,2.4,11.4,57,33.2,0.003,0.025,0.5,49,1467766,217728,175082,392810,0.267624403,
201704,광주,30,39242,1308,15.1,21.9,9.5,12.4,60,60.6,0.002,0.018,0.4,54,1467002,217233,175528,392761,0.267730378,
201705,광주,31,32846,1060,19.8,26.4,14.1,12.3,62,30.2,0.003,0.017,0.4,56,1466741,216774,176651,393425,0.268230724,
201706,광주,30,25887,863,23.1,29.4,18.5,10.9,68,42.1,0.002,0.015,0.4,35,1466451,216442,177256,393698,0.268469932,
201707,광주,31,21221,685,27.8,32,24.8,7.2,89,211.6,0.002,0.011,0.3,24,1466415,216065,177858,393923,0.268629958,
201708,광주,31,22028,711,27,31.6,23.4,8.2,83,280.5,0.002,0.012,0.4,24,1466642,215678,178529,394207,0.26878202,
201709,광주,30,28142,938,22.4,27.6,18,9.6,76,108.8,0.002,0.015,0.4,34,1466639,215219,179078,394297,0.268843935,
201710,광주,31,27453,886,17,22.1,12.8,9.3,75,85.4,0.002,0.017,0.4,33,1466716,214890,179747,394637,0.269061632,
201711,광주,30,36864,1229,8.8,14.6,4,10.6,64,2.1,0.003,0.026,0.6,50,1466328,214509,180317,394826,0.26926172,
201712,광주,31,36504,1178,1.9,6.6,-1.9,8.5,64,28.5,0.003,0.024,0.6,44,1463770,213935,180862,394797,0.269712455,
201801,광주,31,35960,1160,-0.2,4.5,-3.8,8.3,67,38.8,0.003,0.024,0.6,45,1464037,213343,181513,394856,0.269703566,
201802,광주,28,26582,949,1.8,7.1,-2.8,9.9,54,22,0.003,0.024,0.6,50,1463100,212625,181914,394539,0.269659627,
201803,광주,31,29945,966,10,16.5,4.7,11.8,72,115.8,0.002,0.019,0.6,48,1462033,211991,182406,394397,0.269759301,
201804,광주,30,32350,1078,15.1,21.5,9.7,11.8,67,127.4,0.002,0.016,0.5,56,1460972,211295,182622,393917,0.26962666,
201805,광주,31,30016,968,19.5,25,14.8,10.2,74,85.4,0.002,0.013,0.4,40,1460564,210744,183187,393931,0.269711563,
201806,광주,30,22573,752,23.6,29.5,19.2,10.3,74,222.4,0.002,0.011,0.4,41,1460745,210322,183774,394096,0.2697911,
201401,대전,31,28209,910,-0.1,5.9,-5.2,11.1,65,6.5,0.008,0.031,0.8,56,1533497,242824,151537,394361,0.257164507,
201402,대전,28,33294,1189,2.7,8.3,-1.9,10.2,64,8.5,0.006,0.026,0.6,51,1534335,242470,152295,394765,0.257287359,
201403,대전,31,32381,1045,8.3,13.9,3,10.9,64,67.2,0.005,0.022,0.5,50,1534954,241909,153032,394941,0.257298264,
201404,대전,30,37680,1256,14.3,21.1,8.2,12.9,61,59.4,0.004,0.022,0.4,45,1535367,241400,153655,395055,0.257303303,
201405,대전,31,29756,960,19.4,25.9,13.3,12.6,62,49.7,0.003,0.016,0.4,59,1535415,240909,154125,395034,0.257281582,
201406,대전,30,21752,725,22.9,27.7,18.9,8.8,77,143.7,0.002,0.013,0.3,39,1535701,240397,154622,395019,0.2572239,
201407,대전,31,20110,649,25.9,30.2,22.5,7.7,83,177.2,0.002,0.012,0.3,31,1536349,240006,155405,395411,0.257370558,
201408,대전,31,19916,642,24.2,27.8,21.4,6.4,87,240.9,0.003,0.012,0.3,23,1536286,239372,156075,395447,0.257404546,
201409,대전,30,28149,938,21.6,26.9,17.1,9.8,78,118,0.003,0.014,0.4,27,1535815,238675,156657,395332,0.257408607,
201410,대전,31,31112,1004,14.9,21.2,9.5,11.7,76,169.4,0.003,0.021,0.5,29,1535028,237861,157207,395068,0.257368595,
201411,대전,30,38531,1284,8.5,13.9,4,9.9,77,40.7,0.004,0.026,0.6,39,1534041,237014,157744,394758,0.257332105,
201412,대전,31,35461,1144,-1.3,3.4,-5.5,8.9,75,36.5,0.006,0.024,0.7,43,1531809,236053,158329,394382,0.257461603,
201501,대전,31,26649,860,0,5,-4.4,9.4,73,31.5,0.006,0.024,0.7,52,1531287,235033,159199,394232,0.257451412,
201502,대전,28,25556,913,1.9,7.2,-2.4,9.6,66,27,0.005,0.02,0.6,68,1529431,233519,159871,393390,0.257213304,
201503,대전,31,29839,963,7.2,14.3,0.6,13.7,51,44.7,0.005,0.021,0.5,68,1528090,232319,160577,392896,0.257115746,
201504,대전,30,30423,1014,13.3,19.3,7.8,11.5,68,95.2,0.003,0.017,0.4,40,1527314,231494,161134,392628,0.25707091,
201505,대전,31,26667,860,19.5,26,13,13,60,28.9,0.004,0.017,0.4,49,1526568,230693,161794,392487,0.257104171,
201506,대전,30,16113,537,23.4,28.9,18.5,10.4,68,119.8,0.003,0.014,0.4,40,1525656,230105,162352,392457,0.257238198,
201507,대전,31,14536,469,25.4,29.5,22.1,7.4,80,145.6,0.002,0.011,0.5,31,1525195,229578,163023,392601,0.257410364,
201508,대전,31,18607,600,26.4,31.2,22.6,8.6,76,51.6,0.002,0.012,0.4,32,1524025,228549,163543,392092,0.257273995,
201509,대전,30,27724,924,21.7,27.7,16.5,11.2,69,18.5,0.002,0.017,0.4,27,1523338,227638,164135,391773,0.257180613,
201510,대전,31,29529,953,15.5,22,10.1,11.9,71,94.1,0.002,0.024,0.5,50,1522288,226765,164667,391432,0.257133998,
201511,대전,30,32546,1085,10.1,13.8,6.9,6.9,83,126.1,0.003,0.022,0.5,37,1521142,225916,165046,390962,0.25701874,
201512,대전,31,40832,1317,3.1,7.9,-0.8,8.7,75,39.7,0.005,0.024,0.6,49,1518775,224747,165528,390275,0.256966964,
201601,대전,31,28871,931,-1.3,3.6,-5.4,9,69,11.6,0.005,0.021,0.6,48,1518024,223514,166181,389695,0.256712015,
201602,대전,29,28469,982,1.5,7,-3.3,10.3,62,45.8,0.004,0.019,0.5,46,1517716,222773,166629,389402,0.256571058,
201603,대전,31,29745,960,7.5,14.1,1.6,12.5,58,40.3,0.004,0.019,0.5,59,1517118,222044,167168,389212,0.256546953,
201604,대전,30,29250,975,14.8,21.5,8.9,12.6,63,154.9,0.003,0.021,0.4,64,1516904,221433,167545,388978,0.256428884,
201605,대전,31,27217,878,19.8,26.4,13.5,12.9,62,85.1,0.003,0.017,0.4,49,1516494,220812,168006,388818,0.256392706,
201606,대전,30,19849,662,23.7,28.7,19.2,9.5,72,62.5,0.002,0.014,0.4,38,1516208,220411,168405,388816,0.25643975,
201607,대전,31,17163,554,26.6,30.7,23.1,7.6,81,367.9,0.002,0.013,0.4,27,1516291,219984,168973,388957,0.256518703,
201608,대전,31,17248,556,27.9,33.2,23.5,9.7,72,57.4,0.003,0.015,0.4,29,1516165,219550,169463,389013,0.256576956,
201609,대전,30,22923,764,22.4,26.6,19,7.6,79,196,0.002,0.016,0.5,32,1516241,219109,169994,389103,0.256623452,
201610,대전,31,27817,897,15.7,20.6,12,8.6,79,122.6,0.002,0.019,0.5,36,1515787,218657,170570,389227,0.25678212,
201611,대전,30,35051,1168,7.2,12.8,2.4,10.4,72,29.5,0.004,0.028,0.6,51,1515394,218189,171044,389233,0.256852673,
201612,대전,31,37953,1224,2.5,7.6,-2,9.6,71,54.8,0.004,0.027,0.6,47,1514370,217638,171568,389206,0.257008525,
201701,대전,31,25180,812,-0.4,5,-5.1,10.1,67,15,0.004,0.024,0.6,51,1514354,216868,172486,389354,0.257108972,
201702,대전,28,22717,811,1.2,7.2,-4.2,11.4,61,42,0.004,0.023,0.5,46,1513877,216132,173429,389561,0.257326718,
201703,대전,31,26829,865,6.8,13.4,0.9,12.5,54,11.6,0.004,0.021,0.5,54,1512189,215271,174350,389621,0.25765364,
201704,대전,30,27743,925,14.5,21.1,8.5,12.6,57,77.7,0.003,0.016,0.4,58,1511396,214489,175145,389634,0.257797427,
201705,대전,31,24685,796,19.6,26.3,13.5,12.8,60,29.3,0.003,0.015,0.3,63,1509587,213636,176183,389819,0.258228906,
201706,대전,30,18773,626,23.3,29.4,17.8,11.6,62,35.3,0.002,0.014,0.4,43,1508137,213039,176847,389886,0.258521606,
201707,대전,31,15715,507,27.1,30.7,24.2,6.5,87,434.5,0.002,0.011,0.3,32,1507597,212484,177481,389965,0.258666607,
201708,대전,31,15282,493,26,30.1,22.6,7.5,83,293.8,0.002,0.012,0.4,24,1507116,211969,178223,390192,0.258899779,
201709,대전,30,20804,693,21.1,26.3,16.5,9.8,77,111.4,0.002,0.016,0.4,37,1506741,211556,178941,390497,0.259166638,
201710,대전,31,19989,645,15.4,20.8,10.9,9.9,76,28.3,0.002,0.018,0.4,36,1505829,210989,179659,390648,0.259423879,
201711,대전,30,28213,940,6.4,12.3,1,11.3,68,15.1,0.003,0.023,0.5,51,1504307,210318,180079,390397,0.2595195,
201712,대전,31,28035,904,-0.4,4.7,-4.9,9.6,66,33.5,0.003,0.024,0.6,49,1502227,209595,180667,390262,0.259788967,
201801,대전,31,24816,801,-2.5,2.4,-6.6,9,66,23.9,0.003,0.026,0.6,56,1501378,208914,181449,390363,0.260003144,
201802,대전,28,18480,660,-0.4,5.6,-5.7,11.3,53,40.5,0.004,0.028,0.5,56,1499187,207659,182109,389768,0.259986246,
201803,대전,31,22269,718,8.7,14.9,3.1,11.8,70,108.4,0.002,0.022,0.4,52,1497572,206714,182965,389679,0.260207189,
201804,대전,30,27716,924,13.9,20.3,7.8,12.5,64,155.3,0.002,0.017,0.4,60,1496123,205855,183605,389460,0.260312822,
201805,대전,31,25320,817,19.2,24.7,14,10.7,70,95.9,0.002,0.014,0.3,47,1495234,205191,184439,389630,0.260581287,
201806,대전,30,19042,635,23.6,29.1,18.8,10.3,68,115.8,0.002,0.014,0.4,38,1494878,204670,184961,389631,0.260644012,
